,ticker,name,sector,industry,market_cap,exchange,country_code
39,ACAC,Acies Acquisition Corp. ,Unclassified,UNCLASSIFIED,280094016.0,NSDQ,United States
40,ACAD,ACADIA Pharmaceuticals Inc. ,Medical,DRUGS,7590000128.0,NSDQ,United States
41,ACB,Aurora Cannabis Inc. ,Medical,MED PRODS,2156999936.0,NYSE,Canada
42,ACBI,"Atlantic Capital Bancshares, Inc. ",Finance,BANKS & THRIFTS,416881984.0,NSDQ,United States
43,ACC,"American Campus Communities, Inc. ",Finance,REAL ESTATE,5721999872.0,NYSE,United States
44,ACCD,"Accolade, Inc. ",Business Services,BUSINESS SERVICES,2431000064.0,NSDQ,United States
45,ACCO,ACCO Brands Corporation ,Industrial Products,IND PRODS SVC,790937984.0,NYSE,United States
46,ACEL,"Accel Entertainment, Inc. ",Consumer Discretionary,LEISURE SERVICES,1039000000.0,NYSE,United States
47,ACER,Acer Therapeutics Inc. ,Medical,DRUGS,45349000.0,NSDQ,United States
48,ACET,"Adicet Bio, Inc. ",Medical,DRUGS,462483008.0,NSDQ,United States
49,ACEV,ACE Convergence Acquisition Corp. ,Unclassified,UNCLASSIFIED,332924992.0,NSDQ,United States
50,ACGL,Arch Capital Group Ltd. ,Finance,INSURANCE,14572999680.0,NSDQ,Bermuda
51,ACH,Aluminum Corporation of China Limited ,Basic Materials,METALS-NON FERR,10984999936.0,NYSE,China
52,ACHC,"Acadia Healthcare Company, Inc. ",Medical,MEDICAL CARE,4800000000.0,NSDQ,United States
53,ACHV,"Achieve Life Sciences, Inc. ",Medical,DRUGS,72412000.0,NSDQ,United States
54,ACI,"Albertsons Companies, Inc. ",Consumer Staples,CON PRD-MISC STAPLES,7538999808.0,NYSE,United States
55,ACIA,"Acacia Communications, Inc. ",Computer and Technology,TELECOMM EQUIP,4897999872.0,NSDQ,United States
56,ACIC,Atlas Crest Investment Corp. ,Unclassified,UNCLASSIFIED,770625024.0,NYSE,
57,ACIU,AC Immune SA ,Medical,DRUGS,533755008.0,NSDQ,Switzerland
58,ACIW,"ACI Worldwide, Inc. ",Computer and Technology,COMPUTER SOFT SERV,4423000064.0,NSDQ,United States
59,ACLS,"Axcelis Technologies, Inc. ",Computer and Technology,MISC TECHNOLOGY,1228999936.0,NSDQ,United States
60,ACM,AECOM ,Construction,CONSTRUCT BLDG SERV,8689999872.0,NYSE,United States
61,ACMR,"ACM Research, Inc. ",Industrial Products,CONTNRS & GLASS,1896999936.0,NSDQ,United States
62,ACN,Accenture plc ,Business Services,BUSINESS SERVICES,167179993088.0,NYSE,Ireland
63,ACNB,ACNB Corporation ,Finance,BANKS & THRIFTS,239428000.0,NSDQ,United States
64,ACND,Ascendant Digital Acquisition Corp. ,Unclassified,UNCLASSIFIED,430560000.0,NYSE,United States
65,ACOR,"Acorda Therapeutics, Inc. ",Medical,DRUGS,55287000.0,NSDQ,United States
66,ACRE,Ares Commercial Real Estate Corporation ,Finance,REAL ESTATE,473711008.0,NYSE,United States
67,ACRS,"Aclaris Therapeutics, Inc. ",Medical,DRUGS,1044000000.0,NSDQ,United States
68,ACRX,"AcelRx Pharmaceuticals, Inc. ",Medical,DRUGS,217948000.0,NSDQ,United States
69,ACST,Acasti Pharma Inc. ,Medical,DRUGS,133209000.0,NSDQ,Canada
70,ACTC,ArcLight Clean Transition Corp. ,Unclassified,UNCLASSIFIED,710400000.0,NSDQ,United States
71,ACTG,Acacia Research Corporation ,Business Services,BUSINESS SERVICES,347420000.0,NSDQ,United States
72,ACU,Acme United Corporation ,Consumer Discretionary,OTHER CONS DISC,118046000.0,NYSE,United States
73,ACY,AeroCentury Corp. ,Finance,FINANCE,19401000.0,NYSE,United States
74,ADAP,Adaptimmune Therapeutics plc ,Medical,DRUGS,876049024.0,NSDQ,United Kingdom
75,ADBE,Adobe Inc. ,Computer and Technology,COMPUTER SOFT SERV,220353003520.0,NSDQ,United States
76,ADC,Agree Realty Corporation ,Finance,REAL ESTATE,4129999872.0,NYSE,United States
77,ADCT,ADC Therapeutics SA ,Medical,DRUGS,2116999936.0,NYSE,Switzerland
78,ADES,"Advanced Emissions Solutions, Inc. ",Industrial Products,POLLUTION CNTRL,106465000.0,NSDQ,United States
79,ADI,"Analog Devices, Inc. ",Computer and Technology,ELECTRON-SEMI,56810000384.0,NSDQ,United States
80,ADIL,"Adial Pharmaceuticals, Inc. ",Medical,DRUGS,40405000.0,NSDQ,United States
81,ADM,Archer-Daniels-Midland Company ,Consumer Staples,FOOD,31915999232.0,NYSE,United States
82,ADMA,"ADMA Biologics, Inc. ",Medical,DRUGS,217744000.0,NSDQ,United States
83,ADMP,Adamis Pharmaceuticals Corporation ,Medical,DRUGS,154728000.0,NSDQ,United States
84,ADMS,"Adamas Pharmaceuticals, Inc. ",Medical,DRUGS,145964000.0,NSDQ,United States
85,ADNT,Adient plc ,Auto Tires Trucks,AUTOS TIRES TRUCKS,3412000000.0,NYSE,Ireland
86,ADOC,Edoc Acquisition Corp. ,Unclassified,UNCLASSIFIED,119811000.0,NSDQ,
87,ADP,"Automatic Data Processing, Inc. ",Business Services,BUSINESS SERVICES,75597996032.0,NSDQ,United States
88,ADPT,Adaptive Biotechnologies Corporation ,Medical,DRUGS,7589000192.0,NSDQ,United States
89,ADS,Alliance Data Systems Corporation ,Business Services,BUSINESS SERVICES,4575000064.0,NYSE,United States
90,ADSK,"Autodesk, Inc. ",Computer and Technology,COMPUTER SOFT SERV,62149001216.0,NSDQ,United States
91,ADT,ADT Inc. ,Industrial Products,IND PRODS SVC,6611999744.0,NYSE,United States
92,ADTN,"ADTRAN, Inc. ",Computer and Technology,TELECOMM EQUIP,809020992.0,NSDQ,United States
93,ADUS,Addus HomeCare Corporation ,Medical,MEDICAL CARE,1703000064.0,NSDQ,United States
94,ADV,Advantage Solutions Inc. ,Business Services,BUSINESS SERVICES,2827000064.0,NSDQ,United States
95,ADVM,"Adverum Biotechnologies, Inc. ",Medical,DRUGS,1220000000.0,NSDQ,United States
96,ADXN,Addex Therapeutics Ltd ,Medical,DRUGS,65193000.0,NSDQ,Switzerland
97,ADXS,"Advaxis, Inc. ",Medical,DRUGS,113092000.0,NSDQ,United States
98,AE,"Adams Resources & Energy, Inc. ",Oils Energy,OIL-MISC,129899000.0,NYSE,United States
99,AEE,Ameren Corporation ,Utilities,UTIL-ELEC PWR,18090000384.0,NYSE,United States
100,AEG,Aegon N.V. ,Finance,INSURANCE,9978999808.0,NYSE,Netherlands
101,AEGN,Aegion Corporation ,Construction,BUILDING PRODS,791161984.0,NSDQ,United States
102,AEHL,Antelope Enterprise Holdings Limited ,Multi-Sector Conglomerates,CONGLOMERATES,11828000.0,NSDQ,China
103,AEHR,Aehr Test Systems ,Computer and Technology,ELECTRONICS,65776000.0,NSDQ,United States
104,AEIS,"Advanced Energy Industries, Inc. ",Computer and Technology,MISC TECHNOLOGY,4000000000.0,NSDQ,United States
105,AEL,American Equity Investment Life Holding Company ,Finance,INSURANCE,2644999936.0,NYSE,United States
106,AEM,Agnico Eagle Mines Limited ,Basic Materials,METALS-NON FERR,13692000256.0,NYSE,Canada
107,AEMD,"Aethlon Medical, Inc. ",Medical,MEDICAL CARE,26672000.0,NSDQ,United States
108,AENZ,Aenza S.A.A. ,Construction,BUILDING PRODS,403315008.0,NYSE,Peru
109,AEO,"American Eagle Outfitters, Inc. ",Retail Wholesale,NONFOOD RETAIL WH,4271000064.0,NYSE,United States
110,AEP,"American Electric Power Company, Inc. ",Utilities,UTIL-ELEC PWR,37155000320.0,NSDQ,United States
111,AER,AerCap Holdings N.V. ,Finance,FINANCE,6252000256.0,NYSE,Ireland
112,AERI,"Aerie Pharmaceuticals, Inc. ",Medical,DRUGS,860924032.0,NSDQ,United States
113,AES,The AES Corporation ,Utilities,UTIL-ELEC PWR,17666000896.0,NYSE,United States
114,AESE,Allied Esports Entertainment Inc. ,Consumer Discretionary,LEISURE SERVICES,81802000.0,NSDQ,United States
115,AEY,"ADDvantage Technologies Group, Inc. ",Computer and Technology,ELECTRONICS,37842000.0,NSDQ,United States
116,AEYE,"AudioEye, Inc. ",Computer and Technology,COMPUTER SOFT SERV,324639008.0,NSDQ,United States
117,AEZS,Aeterna Zentaris Inc. ,Medical,DRUGS,137836992.0,NSDQ,United States
118,AFG,"American Financial Group, Inc. ",Finance,INSURANCE,9212999680.0,NYSE,United States
119,AFI,"Armstrong Flooring, Inc. ",Construction,BUILDING PRODS,112024000.0,NYSE,United States
120,AFIB,"Acutus Medical, Inc. ",Medical,DRUGS,578084992.0,NSDQ,United States
121,AFIN,"American Finance Trust, Inc. ",Finance,REAL ESTATE,964296000.0,NSDQ,United States
122,AFL,Aflac Incorporated ,Finance,INSURANCE,32975998976.0,NYSE,United States
123,AFMD,Affimed N.V. ,Medical,DRUGS,650836992.0,NSDQ,Germany
124,AFYA,Afya Limited ,Consumer Discretionary,OTHER CONS DISC,2090000000.0,NSDQ,Brazil
125,AG,First Majestic Silver Corp. ,Basic Materials,METALS-NON FERR,4049999872.0,NYSE,Canada
126,AGBA,AGBA Acquisition Limited ,Unclassified,UNCLASSIFIED,62737000.0,NSDQ,"Hong Kong, SAR China"
127,AGC,Altimeter Growth Corp. ,Unclassified,UNCLASSIFIED,809374976.0,NSDQ,United States
128,AGCB,Altimeter Growth Corp. 2 ,Unclassified,UNCLASSIFIED,668700992.0,NYSE,
129,AGCO,AGCO Corporation ,Industrial Products,MACHINERY,9697999872.0,NYSE,United States
130,AGE,"AgeX Therapeutics, Inc. ",Medical,DRUGS,75759000.0,NYSE,United States
131,AGEN,Agenus Inc. ,Medical,DRUGS,760595968.0,NSDQ,United States
132,AGFS,"AgroFresh Solutions, Inc. ",Basic Materials,CHEMICALS,126801000.0,NSDQ,United States
133,AGI,Alamos Gold Inc. ,Basic Materials,METALS-NON FERR,2811000064.0,NYSE,Canada
134,AGIO,"Agios Pharmaceuticals, Inc. ",Medical,MED PRODS,3291000064.0,NSDQ,United States
135,AGLE,"Aeglea BioTherapeutics, Inc. ",Medical,DRUGS,357131008.0,NSDQ,United States
136,AGM,Federal Agricultural Mortgage Corporation ,Finance,FINANCE,906531008.0,NYSE,United States
137,AGMH,AGM Group Holdings Inc. ,Finance,FINANCE,333800992.0,NSDQ,"Hong Kong, SAR China"
138,AGNC,AGNC Investment Corp. ,Finance,REAL ESTATE,8647999488.0,NSDQ,United States
139,AGO,Assured Guaranty Ltd. ,Finance,INSURANCE,3572999936.0,NYSE,Bermuda
140,AGR,"Avangrid, Inc. ",Utilities,UTIL-ELEC PWR,14140000256.0,NYSE,United States
141,AGRO,Adecoagro S.A. ,Consumer Staples,FOOD,968046976.0,NYSE,Luxembourg
142,AGRX,"Agile Therapeutics, Inc. ",Medical,DRUGS,251412000.0,NSDQ,United States
143,AGS,"PlayAGS, Inc. ",Consumer Discretionary,LEISURE SERVICES,292207008.0,NYSE,United States
144,AGTC,Applied Genetic Technologies Corporation ,Medical,DRUGS,216702000.0,NSDQ,United States
145,AGX,"Argan, Inc. ",Construction,BUILDING PRODS,784814016.0,NYSE,United States
146,AGYS,"Agilysys, Inc. ",Computer and Technology,COMPUTER OFFICE EQUIP,1408999936.0,NSDQ,United States
147,AHAC,Alpha Healthcare Acquisition Corp. ,Unclassified,UNCLASSIFIED,149118000.0,NSDQ,United States
148,AHC,A.H. Belo Corporation ,Consumer Staples,PUBLISHING,43677000.0,NYSE,United States
149,AHCO,AdaptHealth Corp. ,Medical,MED PRODS,3990000128.0,NSDQ,United States
150,AHH,"Armada Hoffler Properties, Inc. ",Finance,REAL ESTATE,1035000000.0,NYSE,United States
151,AHPI,"Allied Healthcare Products, Inc. ",Medical,MED PRODS,20068000.0,NSDQ,United States
152,AHT,"Ashford Hospitality Trust, Inc. ",Finance,REAL ESTATE,236452000.0,NYSE,United States
153,AI,"C3.ai, Inc. ",Computer and Technology,COMPUTER SOFT SERV,10778999808.0,NYSE,
154,AIG,"American International Group, Inc. ",Finance,INSURANCE,38008000512.0,NYSE,United States
155,AIH,Aesthetic Medical International Holdings Group Limited ,Medical,MEDICAL CARE,173319008.0,NSDQ,China
156,AIHS,Senmiao Technology Limited ,Computer and Technology,COMPUTER SOFT SERV,70954000.0,NSDQ,China
157,AIII,"ACRE Realty Investors, Inc. ",Finance,REAL ESTATE,,ARCA,United States
158,AIKI,AIkido Pharma Inc. ,Medical,DRUGS,105703000.0,NSDQ,United States
159,AIM,AIM ImmunoTech Inc. ,Medical,DRUGS,91951000.0,NYSE,United States
160,AIMC,Altra Industrial Motion Corp. ,Industrial Products,MACHINERY,3748000000.0,NSDQ,United States
161,AIN,Albany International Corp. ,Industrial Products,IND PRODS SVC,2556999936.0,NYSE,United States
162,AINC,Ashford Inc. ,Finance,INVEST BKRS MGMT,23164000.0,NYSE,United States
163,AINV,Apollo Investment Corporation ,Finance,FINANCE,902534976.0,NSDQ,United States
164,AIR,AAR Corp. ,Aerospace,AEROSPACE DEFENSE,1404000000.0,NYSE,United States
165,AIRC,Apartment Income REIT Corp. ,Finance,REAL ESTATE,6360999936.0,NYSE,United States
166,AIRG,"Airgain, Inc. ",Computer and Technology,TELECOMM EQUIP,242442000.0,NSDQ,United States
167,AIRI,Air Industries Group ,Aerospace,AEROSPACE DEFENSE,48864000.0,NYSE,United States
168,AIRT,"Air T, Inc. ",Transportation,TRANSPORT-AIR,70778000.0,NSDQ,United States
169,AIT,"Applied Industrial Technologies, Inc. ",Industrial Products,MACHINERY,3315000064.0,NYSE,United States
170,AIV,Apartment Investment and Management Company ,Finance,REAL ESTATE,708601984.0,NYSE,United States
171,AIZ,"Assurant, Inc. ",Finance,INSURANCE,7135000064.0,NYSE,United States
172,AJAX,Ajax I ,Unclassified,UNCLASSIFIED,1050000000.0,NYSE,
173,AJG,Arthur J. Gallagher & Co. ,Finance,INSURANCE,23210000384.0,NYSE,United States
174,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Aerospace,AEROSPACE DEFENSE,3975000064.0,NYSE,United States
175,AJX,Great Ajax Corp. ,Finance,REAL ESTATE,259136992.0,NYSE,United States
176,AKAM,"Akamai Technologies, Inc. ",Computer and Technology,COMPUTER SOFT SERV,15402999808.0,NSDQ,United States
177,AKBA,"Akebia Therapeutics, Inc. ",Medical,DRUGS,500104992.0,NSDQ,United States
178,AKER,"Akers Biosciences, Inc. ",Medical,MED PRODS,62024000.0,NSDQ,United States
179,AKO.A,,Consumer Staples,BEVERAGES,,NYSE,Chile
180,AKO.B,,Consumer Staples,BEVERAGES,,NYSE,Chile
181,AKR,Acadia Realty Trust ,Finance,REAL ESTATE,1632000000.0,NYSE,United States
182,AKRO,"Akero Therapeutics, Inc. ",Medical,DRUGS,1056000000.0,NSDQ,United States
183,AKTS,"Akoustis Technologies, Inc. ",Computer and Technology,TELECOMM EQUIP,675107008.0,NSDQ,United States
184,AKTX,"Akari Therapeutics, Plc ",Medical,DRUGS,128886000.0,NSDQ,United Kingdom
185,AKU,Akumin Inc. ,Medical,MEDICAL CARE,255448992.0,NSDQ,
186,AKUS,"Akouos, Inc. ",Medical,DRUGS,700376000.0,NSDQ,United States
187,AL,Air Lease Corporation ,Transportation,TRANSPORTATION,5222000128.0,NYSE,United States
188,ALAC,Alberton Acquisition Corporation ,Unclassified,UNCLASSIFIED,52106000.0,NSDQ,"Hong Kong, SAR China"
189,ALB,Albemarle Corporation ,Basic Materials,CHEMICALS,18336000000.0,NYSE,United States
190,ALBO,"Albireo Pharma, Inc. ",Medical,DRUGS,665030976.0,NSDQ,United States
191,ALC,Alcon Inc. ,Medical,MED PRODS,33652000768.0,NYSE,Switzerland
192,ALCO,"Alico, Inc. ",Consumer Staples,FOOD,222696992.0,NSDQ,United States
193,ALDX,"Aldeyra Therapeutics, Inc. ",Medical,DRUGS,559822016.0,NSDQ,United States
194,ALE,"ALLETE, Inc. ",Utilities,UTIL-ELEC PWR,3238000128.0,NYSE,United States
195,ALEC,"Alector, Inc. ",Medical,DRUGS,1440999936.0,NSDQ,United States
196,ALEX,"Alexander & Baldwin, Inc. ",Finance,REAL ESTATE,1264000000.0,NYSE,United States
197,ALG,Alamo Group Inc. ,Industrial Products,MACHINERY,1812999936.0,NYSE,United States
198,ALGM,"Allegro MicroSystems, Inc. ",Computer and Technology,ELECTRON-SEMI,4952000000.0,NSDQ,United States
199,ALGN,"Align Technology, Inc. ",Medical,MED PRODS,44716998656.0,NSDQ,United States
200,ALGS,"Aligos Therapeutics, Inc. ",Medical,DRUGS,1096000000.0,NSDQ,United States
201,ALGT,Allegiant Travel Company ,Transportation,TRANSPORT-AIR,4136999936.0,NSDQ,United States
202,ALIM,"Alimera Sciences, Inc. ",Medical,DRUGS,46155000.0,NSDQ,United States
203,ALJJ,"ALJ Regional Holdings, Inc. ",Multi-Sector Conglomerates,CONGLOMERATES,62212000.0,NSDQ,United States
204,ALK,"Alaska Air Group, Inc. ",Transportation,TRANSPORT-AIR,8040999936.0,NYSE,United States
205,ALKS,Alkermes plc ,Medical,DRUGS,3032000000.0,NSDQ,Ireland
206,ALL,The Allstate Corporation ,Finance,INSURANCE,32285999104.0,NYSE,United States
207,ALLE,Allegion plc ,Industrial Products,IND PRODS SVC,9870000128.0,NYSE,Ireland
208,ALLK,Allakos Inc. ,Medical,DRUGS,6361999872.0,NSDQ,United States
209,ALLO,"Allogene Therapeutics, Inc. ",Medical,DRUGS,4869000192.0,NSDQ,United States
210,ALLT,Allot Ltd. ,Business Services,BUSINESS SERVICES,512342016.0,NSDQ,Israel
211,ALLY,Ally Financial Inc. ,Finance,FINANCE,15548999680.0,NYSE,United States
212,ALNA,"Allena Pharmaceuticals, Inc. ",Medical,DRUGS,84422000.0,NSDQ,United States
213,ALNY,"Alnylam Pharmaceuticals, Inc. ",Medical,DRUGS,17328001024.0,NSDQ,United States
214,ALOT,"AstroNova, Inc. ",Business Services,BUSINESS SERVICES,80023000.0,NSDQ,United States
215,ALPN,"Alpine Immune Sciences, Inc. ",Medical,DRUGS,278974016.0,NSDQ,United States
216,ALRM,"Alarm.com Holdings, Inc. ",Industrial Products,IND PRODS SVC,4316000256.0,NSDQ,United States
217,ALRN,"Aileron Therapeutics, Inc. ",Medical,DRUGS,127088000.0,NSDQ,United States
218,ALSK,"Alaska Communications Systems Group, Inc. ",Utilities,UTIL-TELEPHONE,176916992.0,NSDQ,United States
219,ALSN,"Allison Transmission Holdings, Inc. ",Auto Tires Trucks,AUTOS TIRES TRUCKS,4244999936.0,NYSE,United States
220,ALT,"Altimmune, Inc. ",Medical,DRUGS,592057984.0,NSDQ,United States
221,ALTA,Altabancorp ,Finance,BANKS & THRIFTS,647212992.0,NSDQ,United States
222,ALTM,Altus Midstream Company ,Oils Energy,OIL GAS PROD PIPEL,860089984.0,NSDQ,United States
223,ALTR,Altair Engineering Inc. ,Construction,CONSTRUCT BLDG SERV,4536999936.0,NSDQ,United States
224,ALUS,Alussa Energy Acquisition Corp. ,Unclassified,UNCLASSIFIED,395312992.0,NYSE,Cayman Islands 
225,ALV,"Autoliv, Inc. ",Auto Tires Trucks,AUTOS TIRES TRUCKS,7863000064.0,NYSE,Sweden
226,ALVR,"AlloVir, Inc. ",Medical,DRUGS,2264000000.0,NSDQ,United States
227,ALX,"Alexander's, Inc. ",Finance,REAL ESTATE,1384999936.0,NYSE,United States
228,ALXN,"Alexion Pharmaceuticals, Inc. ",Medical,DRUGS,33582000128.0,NSDQ,United States
229,ALXO,ALX Oncology Holdings Inc. ,Medical,DRUGS,2979000064.0,NSDQ,United States
230,ALYA,Alithya Group Inc. ,Business Services,BUSINESS SERVICES,132076000.0,NSDQ,Canada
231,AM,Antero Midstream Corporation ,Oils Energy,OIL-INTEGRATED,4206000128.0,NYSE,United States
232,AMAL,Amalgamated Bank ,Finance,BANKS & THRIFTS,545228992.0,NSDQ,
233,AMAT,"Applied Materials, Inc. ",Computer and Technology,MISC TECHNOLOGY,108458000384.0,NSDQ,United States
234,AMBA,"Ambarella, Inc. ",Computer and Technology,ELECTRON-SEMI,3956000000.0,NSDQ,United States
235,AMBC,"Ambac Financial Group, Inc. ",Finance,INSURANCE,776464000.0,NYSE,United States
236,AMBO,Ambow Education Holding Ltd. ,Consumer Discretionary,OTHER CONS DISC,55949000.0,NYSE,China
237,AMC,"AMC Entertainment Holdings, Inc. ",Consumer Discretionary,LEISURE SERVICES,2716000000.0,NYSE,United States
238,AMCI,,,,,,
239,AMCR,Amcor plc ,Industrial Products,CONTNRS & GLASS,17088000000.0,NYSE,United Kingdom
240,AMCX,AMC Networks Inc. ,Consumer Discretionary,MEDIA,2704999936.0,NSDQ,United States
241,AMD,"Advanced Micro Devices, Inc. ",Computer and Technology,ELECTRON-SEMI,102369001472.0,NSDQ,United States
242,AME,"AMETEK, Inc. ",Computer and Technology,ELECTRONICS,27200000000.0,NYSE,United States
243,AMED,"Amedisys, Inc. ",Medical,MEDICAL CARE,8321999872.0,NSDQ,United States
244,AMEH,"Apollo Medical Holdings, Inc. ",Medical,MEDICAL CARE,1034000000.0,NSDQ,United States
245,AMG,"Affiliated Managers Group, Inc. ",Finance,INVEST BKRS MGMT,5966000128.0,NYSE,United States
246,AMGN,Amgen Inc. ,Medical,DRUGS,129905999872.0,NSDQ,United States
247,AMH,American Homes 4 Rent ,Finance,REAL ESTATE,9848000512.0,NYSE,United States
248,AMHC,Amplitude Healthcare Acquisition Corporation ,Unclassified,UNCLASSIFIED,127750000.0,NSDQ,United States
249,AMK,"AssetMark Financial Holdings, Inc. ",Finance,INVEST BKRS MGMT,1712000000.0,NYSE,United States
250,AMKR,"Amkor Technology, Inc. ",Computer and Technology,ELECTRON-SEMI,5813000192.0,NSDQ,United States
251,AMN,"AMN Healthcare Services, Inc. ",Medical,MEDICAL CARE,3427000064.0,NYSE,United States
252,AMNB,American National Bankshares Inc. ,Finance,BANKS & THRIFTS,340454016.0,NSDQ,United States
253,AMOT,Allied Motion Technologies Inc. ,Computer and Technology,MISC TECHNOLOGY,473638016.0,NSDQ,United States
254,AMP,"Ameriprise Financial, Inc. ",Finance,INVEST BKRS MGMT,25830000640.0,NYSE,United States
255,AMPE,"Ampio Pharmaceuticals, Inc. ",Medical,DRUGS,316444000.0,NYSE,United States
256,AMPH,"Amphastar Pharmaceuticals, Inc. ",Medical,DRUGS,832745024.0,NSDQ,United States
257,AMPY,Amplify Energy Corp. ,Oils Energy,OIL-EXP&PROD,109957000.0,NYSE,United States
258,AMRB,American River Bankshares ,Finance,BANKS & THRIFTS,87244000.0,NSDQ,United States
259,AMRC,"Ameresco, Inc. ",Oils Energy,ENERGY-ALT SRCS,2734000128.0,NYSE,United States
260,AMRK,"A-Mark Precious Metals, Inc. ",Consumer Discretionary,OTHER CONS DISC,204638000.0,NSDQ,United States
261,AMRN,Amarin Corporation plc ,Medical,DRUGS,2620999936.0,NSDQ,Ireland
262,AMRS,"Amyris, Inc. ",Basic Materials,CHEMICALS,3464000000.0,NSDQ,United States
263,AMRX,"Amneal Pharmaceuticals, Inc. ",Medical,DRUGS,795715008.0,NYSE,United States
264,AMS,American Shared Hospital Services ,Medical,MED PRODS,16131000.0,NYSE,United States
265,AMSC,American Superconductor Corporation ,Computer and Technology,ELECTRONICS,656166016.0,NSDQ,United States
266,AMSF,"AMERISAFE, Inc. ",Finance,INSURANCE,1131000064.0,NSDQ,United States
267,AMST,Amesite Inc. ,Computer and Technology,COMPUTER SOFT SERV,125474000.0,NSDQ,United States
268,AMSWA,"American Software, Inc. ",Computer and Technology,COMPUTER SOFT SERV,658241024.0,NSDQ,United States
269,AMT,American Tower Corporation ,Finance,REAL ESTATE,96008003584.0,NYSE,United States
270,AMTB,Amerant Bancorp Inc. ,Finance,BANKS & THRIFTS,585240000.0,NSDQ,United States
271,AMTI,Applied Molecular Transport Inc. ,Medical,DRUGS,1704999936.0,NSDQ,United States
